1076.  Sie fühlt sich schuldig , obwohl sie nichts gemacht hat. ,  She feels guilty even though she hasn’t done anything., vocabulary-tag
1077.  Ich muss darüber nachdenken , wie wir das Problem lösen können. ,  I need to think about how we can solve this problem., vocabulary-tag
1078.  Es tut mir furchtbar leid, dass ich zu spät gekommen bin. ,  I am terribly sorry that I arrived late., vocabulary-tag
1079.  Die Party war eine wirklich gelungene Überraschung . ,  The party was a really successful surprise ., vocabulary-tag
1080.  Kannst du heute Abend bitte auf Michael aufpassen ? ,  Can you please watch Michael tonight?, vocabulary-tag
1081.  Diese Produkte scheinen amerikanisch zu sein. ,  These products seem to be American ., vocabulary-tag
1082.  Wir sollten unserer Tante einen Besuch abstatten. ,  We should go and pay a visit to our aunt., vocabulary-tag
1083.  Die Aufgabe war so schwierig, dass ich sie nicht lösen konnte. ,  The task was so difficult that I couldn’t solve it., vocabulary-tag
1084.  Du hast mir versprochen , dass du nicht mehr rauchen wirst. ,  You promised me that you won’t smoke anymore., vocabulary-tag
1085.  Letzte Woche haben wir alle Bilder verkauft . ,  Last week we sold all paintings., vocabulary-tag
1086.  Ich werde euch mein Haus und mein Geld hinterlassen , wenn ich sterbe. ,  When I die, I will leave you my house and my money., vocabulary-tag
1087.  Wir sollten versuchen, mehr Zeit miteinander zu verbringen . ,  We should try to spend more time together., vocabulary-tag
1088.  Wir müssen das unbedingt noch einmal besprechen. ,  We absolutely have to talk about this again., vocabulary-tag
1089.  Es gibt nichts Schöneres, als zu reisen . ,  There is nothing better than to travel ., vocabulary-tag
1090.  Die Tiere genießen ihre Freiheit . ,  The animals are enjoying their freedom ., vocabulary-tag
1091.  Wenn du den Knochen öffnest, kannst du das Mark sehen. ,  When you open the bone, you can see the marrow ., vocabulary-tag
1092.  Gold war schon immer ein begehrtes Metall. ,  Gold has always been a desirable metal., vocabulary-tag
1093.  Wir haben alle unsere Aufgaben erledigt . ,  We have done all our exercises., vocabulary-tag
1094.  Diese Herren habe ich noch nie hier gesehen. ,  I have never seen these Sirs here before., vocabulary-tag
1095.  Wir sollten irgendwann einmal zusammen Abendessen gehen. ,  We should go out for dinner together sometime ., vocabulary-tag
1096.  Man kann die Vergangenheit nicht ändern. ,  One cannot change the past ., vocabulary-tag
1097.  Mein Cousin Daniel wohnt in Astralien. ,  My cousin Daniel lives in Australia., vocabulary-tag
1098.  Der Baum ist einen Meter hoch. ,  The tree is one meter tall., vocabulary-tag
1099.  Die Bank ist gegenüber der Kirche. ,  The bank is opposite the church., vocabulary-tag
1100.  Ich denke nicht, dass man Tiere zum Spaß jagen sollte. ,  I don’t think you should hunt animals just for fun., vocabulary-tag
1101.  Ich habe das Glas auf das Regal gestellt. ,  I put the glass on the shelf., vocabulary-tag
1102.  An der Wand im Wohnzimmer hängen viele Gemälde. ,  There are many paintings on the wall in the living room., vocabulary-tag
1103.  In der Stadt wird ein neuer Polizist gesucht – du solltest dich bewerben. ,  A new policeman is wanted in the city – you should apply., vocabulary-tag
1104.  Seit er mit Laura zusammen ist, hat er sich total verändert . ,  He has completely changed since getting together with Laura., vocabulary-tag
1105.  Du bist für die Kinder verantwortlich und hättest besser aufpassen sollen! ,  You are responsible for the children and should have paid more attention!, vocabulary-tag
1106.  Heute Nachmittag werden wir den Dom besichtigen. ,  This afternoon we will visit the dome ., vocabulary-tag
1107.  Die Kinder spielen drinnen , weil es regnet. ,  The children are playing inside because it is raining., vocabulary-tag
1108.  Kannst du mir erklären, wie diese Maschinen funktionieren ? ,  Can you explain to me how these machines work ?, vocabulary-tag
1109.  Es gibt nur eine Flasche Wasser pro Person. ,  There is only one bottle of water per person., vocabulary-tag
1110.  Diesmal werden wir alles ganz anders machen. ,  This time we will do everything completely differently., vocabulary-tag
1111.  Es ist witzig , wenn unsere Katze und unser Hund zusammen spielen. ,  It is funny when our cat and our dog are playing together., vocabulary-tag
1112.  Heute Abend sind ungefähr 200 Leute zum Konzert gekommen. ,  This evening about 200 people came to the concert., vocabulary-tag
1113.  Dieser Hut steht dir wirklich gut! ,  This hat suits you really well!, vocabulary-tag
1114.  Hoffentlich verpassen wir unseren Flug nach England nicht! ,  Hopefully we won’t miss our flight to England!, vocabulary-tag
1115.  Sein Englisch hat sich sehr verbessert. ,  His English has improved a lot., vocabulary-tag
1116.  Du solltest nicht rauchen , da es wirklich ungesund ist. ,  You should not smoke as it is really unhealthy., vocabulary-tag
1117.  Wir sind uns nicht sicher, ob er die Operation überleben wird. ,  We are not sure if he will survive the operation ., vocabulary-tag
1118.  Michael und Anna sind sehr verliebt . ,  Michael and Anna are very much in love ., vocabulary-tag
1119.  Soweit ich weiß, gibt es heute keine Besprechungen mehr. ,  As far as I know there are no more meetings today., vocabulary-tag
1120.  Seine Rede hat uns alle sehr inspiriert. ,  His speech was very inspiring., vocabulary-tag
1121.  Ich kann heute nicht ausgehen, da ich beschäftigt bin. ,  I can’t go out tonight as I am busy ., vocabulary-tag
1122.  Richard Wagner ist ein bekanter deutscher Komponist. ,  Richard Wagner is a famous German composer., vocabulary-tag
1123.  Dieses Wochenende werden wir im Wald zelten gehen. ,  This weekend we will go camping in the forest ., vocabulary-tag
1124.  Ich werde immer nervös , wenn ich vor einer Gruppe von Menschen reden muss. ,  I always get nervous when I have to talk in front of a group of people., vocabulary-tag
1125.  Das Mädchen ist gestern spurlos verschwunden . ,  Yesterday the girl disappeared without a trace., vocabulary-tag
1126.  Wir genießen diese Kreuzfahrt voll und ganz. ,  We enjoy this cruise to the fullest., vocabulary-tag
1127.  Diese Informationen sind streng geheim . ,  This information is top secret ., vocabulary-tag
1128.  Mein Großvater hat eine kleine Hütte im Norden. ,  My grandfather has a small cottage in the north., vocabulary-tag
1129.  Es ist schön, dich so gelassen zu sehen. ,  It is nice seeing you so calm ., vocabulary-tag
1130.  Das kannst du nicht von mir verlangen . ,  You cannot require me to do this., vocabulary-tag
1131.  Ich muss immer lächeln , wenn ich meinen Neffen sehe. ,  I always have to smile when I see my nephew., vocabulary-tag
1132.  Kannst du mir sagen, wo du die Schokolade versteckt hast? ,  Can you tell me where you’ve hidden the chocolate?, vocabulary-tag
1133.  Hunger ist kein gutes Gefühl. ,  Hunger is not a nice feeling., vocabulary-tag
1134.  Er kann sich momentan kein neues Auto leisten . ,  He cannot afford a new car at the moment., vocabulary-tag
1135.  Meine Eltern gehen jeden Sonntag in die Kirche . ,  My parents go to church every Sunday., vocabulary-tag
1136.  Wir werden beten , dass alles gut geht. ,  We will pray that everything will go well., vocabulary-tag
1137.  Sie haben ihn immer bei seinem Spitznamen genannt . ,  They always called him by his nickname., vocabulary-tag
1138.  Kannst du bitte überprüfen , ob diese Daten stimmen? ,  Can you please check if these dates are correct?, vocabulary-tag
1139.  Dieses Holz wird gut brennen , weil es so trocken ist. ,  This wood will burn well because it is so dry., vocabulary-tag
1140.  Der Film hat vor 20 Minuten angefangen . ,  The film started 20 minutes ago., vocabulary-tag
1141.  Mein Hals tut weh und ich kann ihn kaum bewegen. ,  My neck hurts and I can barely move it., vocabulary-tag
1142.  Die Kette passt gut zum Blau deiner Augen. ,  The necklace goes well with the blue in your eyes., vocabulary-tag
1143.  Ich würde ihn gerne küssen , aber ich bin zu schüchtern. ,  I would like to kiss him, but I am too shy., vocabulary-tag
1144.  Sei vorsichtig mit dem Messer , es ist sehr scharf. ,  Be careful with the knife , it is very sharp., vocabulary-tag
1145.  Am Wochenende werden wir deinen Geburtstag feiern ! ,  On the weekend we will celebrate your birthday!, vocabulary-tag
1146.  Ich weiß nicht, welches Getränk ich wählen soll! ,  I don’t know which drink to choose !, vocabulary-tag
1147.  Diese Frau macht mich noch wahnsinnig! ,  This woman is going to drive me insane!, vocabulary-tag
1148.  Die beiden Kinder werden sich in Sicherheit befinden . ,  Both children will be in safety., vocabulary-tag
1149.  Ich habe meine Tante schon lange nicht mehr gesehen. ,  I haven’t seen my aunt in a long time., vocabulary-tag
1150.  Ich will diese Schlampe nie wiedersehen! ,  I never want to see that bitch again!, vocabulary-tag
1151.  Das Gespräch mit dir hat mir sehr gut gefallen. ,  I really liked the conversation with you., vocabulary-tag
1152.  Sei vorsichtig ! Dieses Gelände darf man nicht betreten! ,  Be careful! You are not permitted to enter this area!, vocabulary-tag
1153.  Um gesund zu bleiben, sollte man Sport machen. ,  In order to stay healthy , one should exercise., vocabulary-tag
1154.  Ich habe letzte Nach überhaupt nicht geschlafen . ,  I haven’t slept at all last night., vocabulary-tag
1155.  Kann bitte ein anderer diese Arbeit machen? ,  Can someone else please do this work?, vocabulary-tag
1156.  Wir sind wegen seines Verhaltens sehr besorgt . ,  We are very concerned about his behavior., vocabulary-tag
1157.  Er hat sich beim Klettern einen Finger gebrochen . ,  He broke a finger while climbing., vocabulary-tag
1158.  Ich kann dieses teure Geschenk nicht annehmen ! ,  I canot accept this expensive gift!, vocabulary-tag
1159.  Wir sind umgezogen und haben jetzt eine neue Adresse . ,  We moved and now have a new address ., vocabulary-tag
1160.  Frag mich nicht! ,  Don’t ask me!, vocabulary-tag
1161.  Willst du einen Film mit mir gucken ? ,  Do you want to watch a film with me?, vocabulary-tag
1162.  Er möchte seine Beziehung mit Susanne beenden . ,  He wants to break up his relationship with Susanne., vocabulary-tag
1163.  Er kann den Teller nicht greifen , weil er zu hoch oben ist. ,  He cannot grab the plate because it is up too high., vocabulary-tag
1164.  Hast du irgendwelche Vorschläge, wie man das System verbessern könnte? ,  Do you have any suggestions how we could improve the system?, vocabulary-tag
1165.  Er ist in letzter Zeit ziemlich dick geworden. ,  He has gotten pretty fat recently., vocabulary-tag
1166.  Unsere Mission ist es, allen Kindern zu helfen. ,  Our mission is to help all children., vocabulary-tag
1167.  Es ist mir ein Vergnügen , Sie kennenzulernen. ,  It is a pleasure to meet you., vocabulary-tag
1168.  Meine Eltern haben ein Haus am Meer . ,  My parents have a house by the sea ., vocabulary-tag
1169.  Das hast du noch in letzter Sekunde gemacht! ,  You did that in the last second!, vocabulary-tag
1170.  Der Hund hat einen Stock im Maul . ,  The dog has a stick in its mouth ., vocabulary-tag
1171.  Sie spielen immer das gleiche Lied im Radio. ,  They always play the same song on the radio., vocabulary-tag
1172.  Ich muss herausfinden , wo Sebastian wohnt. ,  I have to find out where Sebastian lives., vocabulary-tag
1173.  Gestern wurde ein Mann im Wald erschossen . ,  Yesterday a man was shot dead in the woods., vocabulary-tag
1174.  Er ist sehr schüchtern und verhalten . ,  He is very shy and restrained ., vocabulary-tag
1175.  Das Verbrechen in unserer Stadt nimmt jedes Jahr zu. ,  Crime in our city rises every year., vocabulary-tag
1176.  Willst du mir ernsthaft sagen, dass du jetzt gehst? ,  Are you seriously telling me that you are leaving now?, vocabulary-tag
1177.  Die Neun ist schon immer meine Glückszahl gewesen. ,  Nine has always been my lucky number., vocabulary-tag
1178.  Im Mittelalter kämpften Ritter mit einem Schwert . ,  In the medieaval ages knights fought with a sword ., vocabulary-tag
1179.  Diese Tour hat mich an meine persönliche Grenze gebracht. ,  This tour has brought me to my personal limit ., vocabulary-tag
1180.  Ich kannte einmal einen Mann namens Johannes. ,  I once knew a man called Johannes., vocabulary-tag
1181.  Wir werden gewinnen, indem wir hart trainieren. ,  We will win by training hard., vocabulary-tag
1182.  Du musst deine Haut pflegen, sonst wird sie trocken. ,  You have to look after your skin or it will get dry., vocabulary-tag
1183.  Der Flug nach Amerika war sehr angenehm. ,  The fligh t to America was very pleasant., vocabulary-tag
1184.  Das Dorf hat viele kleine Läden. ,  The village has many small shops., vocabulary-tag
1185.  Ihr solltet versuchen, mehr miteinander zu unternehmen. ,  You should try doing more things together ., vocabulary-tag
1186.  Das Gemälde, das du gekauft hast, ist einfach fantastisch ! ,  The painting you bought is simply fantastic !, vocabulary-tag
1187.  Sein Flug geht morgen, doch er muss noch packen . ,  His flight leaves tomorrow but he still has to pack ., vocabulary-tag
1188.  Die beiden Katzen sehen sich sehr ähnlich . ,  The two cats look very similar to each other., vocabulary-tag
1189.  Es ist noch eine Meile bis zum Hotel. ,  It’s one more mile to the hotel., vocabulary-tag
1190.  Wir sollten versuchen, nicht so viel Papier zu verschwenden. ,  We should try not to waste so much paper ., vocabulary-tag
1191.  Meine Katze schläft bei mir im Bett. ,  My cat sleeps in bed with me., vocabulary-tag
1192.  Ich würde mich gerne einem Club anschließen. ,  I would like to join a club ., vocabulary-tag
1193.  Jedes Jahr entkommen zahlreiche Häftlinge aus dem Gefängnis. ,  Every year numerous prisoners escape from jail., vocabulary-tag
1194.  Das Unternehmen ist relativ kompliziert. ,  The undertaking is relatively complicated., vocabulary-tag
1195.  Der Bauer muss jeden Morgen früh aufstehen. ,  The farmer has to get up early every morning., vocabulary-tag
1196.  Meine Cousine Sarah möchte nicht arbeiten gehen . ,  My cousin Sarah doesn’t want to go to work ., vocabulary-tag
1197.  Ich werde Sie zu Ihrem Auto bringen. ,  I will take you to your car., vocabulary-tag
1198.  Dieses Glas kann einen ganzen Liter fassen . ,  This glass can hold an entire liter., vocabulary-tag
1199.  Er wird ihm ins Gesicht hauen . ,  He will hit him in the face., vocabulary-tag
1200.  Übrigens kann ich heute Mittag nicht zur Besprechung kommen. ,  By the way , I will not be able to come to the meeting this afternoon., vocabulary-tag
1201.  Ich gaube, dass der Wasserfall ganz nahe ist. ,  I think that the waterfall is near ., vocabulary-tag
1202.  An Weihnachten feiern wir mit der ganzen Familie. ,  On Christmas we are celebrating with the entire family., vocabulary-tag
1203.  Er muss dieses Jahr seinen Dienst beim Militär leisten. ,  This year he has to do his military service ., vocabulary-tag
1204.  Der Junge wird nun schon seit mehr als 24 Stunden vermisst . ,  The boy has been missing for over 24 hours now., vocabulary-tag
1205.  Jedes Wochenende fahren wir an denselben See , weil er so schön ist. ,  Every weekend we go to the same lake because it is so beautiful., vocabulary-tag
1206.  Ich kann nicht glauben, dass sie jeden Tag dasselbe Essen in der Kantine servieren! ,  I cannot believe that they serve the same food every day in the canteen!, vocabulary-tag
1207.  Michael steht vorne an der Bar und redet mit seinem Kumpel. ,  Michael is up front at the bar and is talking to his mate., vocabulary-tag
1208.  Er zieht sich den Pullover aus, da er zu warm ist. ,  He is taking off his pullover because it is too warm ., vocabulary-tag
1209.  Kannst du den Pfeffer in der Soße schmecken ? ,  Can you taste the pepper in the sauce?, vocabulary-tag
1210.  Meine Freundin Mary kommt ursprünglich aus England. ,  My friend Mary comes from England originally., vocabulary-tag
1211.  Guck dir das mal an! ,  Look at that!, vocabulary-tag
1212.  Du musst fest drücken , um die Tür zu öffnen. ,  You have to push hard to open the door., vocabulary-tag
1213.  Ich kann den Tee nicht trinken, da er noch zu heiß ist. ,  I cannot drink this tea as it is still too hot., vocabulary-tag
1214.  Der Kleine scheint sich hier gut eingelebt zu haben. ,  It seems like the little one has settled in well., vocabulary-tag
1215.  Dieses Gericht habe ich schon einmal gegessen . ,  I have eaten this dish once before., vocabulary-tag
1216.  Die Wache hat keine verdächtigen Personen gesehen. ,  The guard has not seen any suspicious people., vocabulary-tag
1217.  Bitte geh dir die Hände waschen, sie sind so dreckig ! ,  Please go and wash your hands, they are so dirty !, vocabulary-tag
1218.  Heute Abend haben wir insgesamt 1000 Euro verdient! ,  This evening we earned a total of 1000 Euros!, vocabulary-tag
1219.  Die Schwierigkeit ist, in solchen Situationen ruhig zu bleiben. ,  The difficulty is to stay calm in situations like this., vocabulary-tag
1220.  Die Blume hat eine sehr intensive Farbe. ,  The flower has a very intense color., vocabulary-tag
1221.  Ich wollte dir noch für deine Hilfe am Mittwoch danken . ,  I wanted to thank you for your help on Wednesday., vocabulary-tag
1222.  Ich will nicht, dass du mit irgendjemandem darüber redest. ,  I don’t want you talking to anyone about this., vocabulary-tag
1223.  Sarah ist vermutlich schon nach Hause gegangen. ,  Presumably Sarah already went home., vocabulary-tag
1224.  Jede Einheit muss geprüft und dann an den Kunden geschickt werden. ,  Each unit has to be checked and then be sent to the customers., vocabulary-tag
1225.  Er hat mich beleidigt, worauf ich ihm eine Ohrfeige gegeben habe. ,  He insulted me, whereupon I smacked him in the face., vocabulary-tag
1226.  Sie isst kein Fleisch , da sie Vegetarierin ist. ,  She doesn’t eat meat as she is a vegetarian., vocabulary-tag
1227.  Die Hälfte deines Essens landet immer im Müll. ,  Half of your food always ends up in the bin., vocabulary-tag
1228.  Kinder sollten Respekt vor ihren Eltern haben. ,  Children should have respect for their parents., vocabulary-tag
1229.  Ich bin mir nicht sicher, wie ich dieses Problem lösen soll. ,  I am not sure how to solve this problem., vocabulary-tag
1230.  Er glaubt nicht, dass er seiner Freundin vertrauen kann. ,  He doesn’t think he can trust his girlfriend., vocabulary-tag
1231.  Roger, kannst du mir sagen, wo die neuen Computer sind? ,  Roger, can you tell me where the new computers are?, vocabulary-tag
1232.  Es ist mir eine Freude , Sie hier willkommen heißen zu dürfen. ,  It is a pleasure to be able to welcome you here., vocabulary-tag
1233.  Die Zahl der Verkehrsunfälle ist letztes Jahr stark gesunken. ,  The number of traffic accidents has gone back drastically last year., vocabulary-tag
1234.  Mein erster Eindruck ist, dass sich hier alle wohlfühlen. ,  My first impression is that everyone is feeling comfortable here., vocabulary-tag
1235.  Ich möchte gerne einen Sitz am Gang , wenn es geht. ,  If possible, I would like a seat by the aisle ., vocabulary-tag
1236.  Sie möchte dieses Wochenende nicht ausgehen , weil sie Geld sparen will. ,  She doesn’t want to go out this weekend because she wants to save money., vocabulary-tag
1237.  Der Mann hat ein neues Restaurant im Zentrum aufgemacht. ,  The man has opened a new restaurant in the center., vocabulary-tag
1238.  Wir werden heute mit dem Taxi zum Flughafen fahren. ,  We will get a taxi to the airport today., vocabulary-tag
1239.  Es geht mich nichts an, worüber du mit Maria gesprochen hast. ,  It is none of my business about what you spoke to Maria., vocabulary-tag
1240.  Ich kann nicht glauben, dass diese Brücke schon so alt ist! ,  I cannot believe that this bridge is already this old!, vocabulary-tag
1241.  Er hat sich noch nie zuvor über das Essen beschwert. ,  He has never complained about the food before ., vocabulary-tag
1242.  Rechts kannst du die Schweizer Alpen sehen. ,  On the right you can see the Swiss Alps., vocabulary-tag
1243.  Du solltest mehr arbeiten, statt so viel mit deinen Kollegen zu reden. ,  You should work more instead of talking to your colleagues so much., vocabulary-tag
1244.  Du solltest dir überlegen , was du Andrea zum Geburtstag schenken wirst. ,  You should think about what you are going to get Andrea for her birthday., vocabulary-tag
1245.  Du kannst herein kommen, die Tür ist offen. ,  You can come in ; the door is open., vocabulary-tag
1246.  Es gibt hier eine Person, die Probleme macht – nämlich dich. ,  There is one person that is causing problems – namely you., vocabulary-tag
1247.  Wir können heute nicht in den Park gehen, weil er geschlossen ist. ,  We cannot go to the park today because it is closed., vocabulary-tag
1248.  Meine neuen Schuhe waren ziemlich teuer. ,  My new shoes were pretty expensive., vocabulary-tag
1249.  Dort drüben steht eine Flasche Wein. ,  There is a bottle of wine over there., vocabulary-tag
1250.  Sein Onkel Charles ist vor neun Jahren nach Australien ausgewandert. ,  His uncle Charles emigrated to Australia nine years ago., vocabulary-tag
1251.  Mein Bruder Henry wohnt zu Hause bei unseren Eltern. ,  My brother Henry lives at home with our parents., vocabulary-tag
1252.  Es gab schon manch komische Ereignisse in dieser Schule! ,  There have been some strange events at this school!, vocabulary-tag
1253.  Jeden Abend erscheinen hier zwei Männer im Anzug. ,  Every evening two men in suits appear here., vocabulary-tag
1254.  In diesem Fluss darf man nicht schwimmen, weil er gefährlich ist. ,  One is not allowed to swim in this river because it is dangerous., vocabulary-tag
1255.  Man sollte sich nicht von seiner Lust steuern lassen. ,  One should not be controlled by one’s lust ., vocabulary-tag
1256.  Jawohl , wir haben alle Arbeiten erledigt! ,  Yup , we have finished all chores!, vocabulary-tag
1257.  Dieser Hund ist wild und man sollte ihm nicht zunahekommen. ,  This dog is wild and you should not get too close to it., vocabulary-tag
1258.  An einem solch schönen Abend sollte man einen Spaziergang machen. ,  One should go for a walk on such a beautiful evening., vocabulary-tag
1259.  Johannes hat mich gebeten , ihm bei etwas zu helfen. ,  Johannes has asked me to help him with something., vocabulary-tag
1260.  Ich denke nicht, dass dir diese Farbe gut steht. ,  I don’t think this color suits you., vocabulary-tag
1261.  Nick kann gerade nicht ans Telefon kommen, weil er in einer Besprechung ist. ,  Nick cannot come to the phone right now because he is in a meeting., vocabulary-tag
1262.  Kannst du bitte schnell herkommen und mir mit etwas helfen? ,  Could you quickly come here please and help me with something?, vocabulary-tag
1263.  Dein Verhalten heute Abend war einfach lächerlich ! ,  Your behavior this evening was simply ridiculous !, vocabulary-tag
1264.  Er hatte heute so viel Energie , dass er 20 km gerannt ist! ,  He had so much energy today that he ran 20 km!, vocabulary-tag
1265.  Dieses Kleid sieht toll aus, aber es ist zu teuer. ,  This dress looks great, but it is too expensive., vocabulary-tag
1266.  Ich habe schon seit vielen Jahren nicht mehr auf dem Klavier gespielt . ,  I haven’t played the piano in many years., vocabulary-tag
1267.  Wir sollten die Pflanze dort in die Ecke stellen. ,  We should put the plant over there in the corner ., vocabulary-tag
1268.  Heute Abend werden wir den Amerikaner vom Flughafen abholen. ,  This evening we will pick up the American from the airport., vocabulary-tag
1269.  Es gibt keinen Unterschied zwischen diesen beiden Hemden. ,  There is no difference between these two shirts., vocabulary-tag
1270.  Er ist gestern betrunken von der Party nach Hause gekommen. ,  Yesterday he came home drunk after the party., vocabulary-tag
1271.  Pflanzen wachsen in einem tropischen Klima schneller. ,  Plants grow faster in a tropical climate., vocabulary-tag
1272.  Wir sollten hingehen und ihm unsere Meinung sagen! ,  We should go there and tell him our opinion!, vocabulary-tag
1273.  Sie ist sehr klug für ihr Alter. ,  She is very wise for her age., vocabulary-tag
1274.  Der Angriff fand gestern Abend in einer Gasse statt. ,  The attack happened last night in an alley., vocabulary-tag
1275.  Ich werde uns ein Eis zum Nachtisch bestellen. ,  I will order us an ice cream for dessert., vocabulary-tag
1276.  Jeder Mensch sollte mit Würde behandelt werden. ,  Every person should be treated with dignity ., vocabulary-tag
1277.  Wir haben so viel erreicht und dürfen jetzt nicht aufgeben . ,  We have achieved so much and must not give up now., vocabulary-tag
1278.  Wir haben momentan viel Druck bei der Arbeit. ,  At the moment we are under a lot of pressure at work., vocabulary-tag
1279.  Heute Nachmittag lasse ich mir meine Haare schneiden . ,  This afternoon I will get my hair cut ., vocabulary-tag
1280.  Kannst du diesen Absatz bitte ins Englische übersetzen ? ,  Can you please translate this paragraph into English?, vocabulary-tag
1281.  Du warst heute der Star der Show! ,  You were the star of the show today!, vocabulary-tag
1282.  Experten schätzen , dass die Erderwärmung immer schneller voranschreiten wird. ,  Experts estimate that global warming will advance faster and faster., vocabulary-tag
1283.  Die Polizisten verfolgen den Einbrecher. ,  The policemen pursue the robber., vocabulary-tag
1284.  Ich kann nicht glauben, dass du schwanger bist! ,  I cannot believe you are pregnant !, vocabulary-tag
1285.  Gestern haben wir uns entschieden , zu heiraten. ,  Yesterday we decided to get married., vocabulary-tag
1286.  Wir müssen die Küche erst aufräumen, bevor wir hier kochen können. ,  We first have to clean the kitchen before we can cook here., vocabulary-tag
1287.  Die Temperatur ist seit gestern um ein Grad angestiegen. ,  The temperature has risen by a degree since yesterday., vocabulary-tag
1288.  Ich werde ihn schnell von meinem Handy aus anrufen. ,  I will quickly give him a call from my cell phone ., vocabulary-tag
1289.  In vielen Kirchen kann man einen Engel sehen. ,  In many churches one can see an angel ., vocabulary-tag
1290.  Mein Ehemann kümmert sich heute um die Kinder. ,  My husband is looking after the children today., vocabulary-tag
1291.  Ich bin vor 10 Jahren nach Deutschland gezogen. Und davor war ich noch nie hier gewesen! ,  I moved to Germany 10 years ago. And before that I had never been here!, vocabulary-tag
1292.  Du solltest deinen Chef mit etwas mehr Respekt behandeln . ,  You should treat your boss with a little more respect., vocabulary-tag
1293.  Die Qualität dieser Produkte ist ausgezeichnet. ,  The quality of these products is excellent., vocabulary-tag
1294.  In dieser Flasche ist nichts mehr drin, sie ist leer . ,  There is nothing left in this bottle, it’s empty ., vocabulary-tag
1295.  Man könnte meinen, dass du unschuldig seist. ,  One could think you’re innocent ., vocabulary-tag
1296.  Wir gehen jetzt – schließlich müssen wir morgen früh aufstehen. ,  We are going now – we have to get up early tomorrow after all ., vocabulary-tag
1297.  Weil er zu spät angekommen ist, hat er seinen Zug verpasst . ,  He missed his train because he arrived late., vocabulary-tag
1298.  Ich kann mir nicht vorstellen, in dieser Gegend zu wohnen. ,  I cannot imagine living in this area ., vocabulary-tag
1299.  Ich kann meinen Ex einfach nicht vergessen. ,  I simply cannot forget my ex ., vocabulary-tag
1300.  Er ist zu schwach , um weiter zu gehen. ,  He is too weak to continue walking., vocabulary-tag
1301.  Je älter man ist, umso mehr Erfahrung hat man. ,  The older you are, the more experience you have., vocabulary-tag
1302.  Viele Kinder glauben, dass sich ein Monster in ihrem Zimmer versteckt. ,  Many children think that a monster is hiding in their room., vocabulary-tag
1303.  Heute Abend werden wir den Deal abschließen. ,  This evening we will seal the deal ., vocabulary-tag
1304.  Er ist überrascht , seine Tochter hier zu sehen. ,  He is surprised to see his daughter here., vocabulary-tag
1305.  Du solltest nachts nicht alleine in die Stadt gehen. ,  You shouldn’t go to the city alone at night ., vocabulary-tag
1306.  Die Austern schmecken gut, sie sind ganz frisch ! ,  The oysters taste good, they are really fresh !, vocabulary-tag
1307.  Es hat seine Frau geschlagen . ,  He has beaten his wife., vocabulary-tag
1308.  London ist eine schöne Stadt. ,  London is a nice city., vocabulary-tag
1309.  Hoffentlich wird morgen alles klappen . ,  Hopefully, everything will work out tomorrow., vocabulary-tag
1310.  Mein Auto ist kaputt und deshalb muss ich den Bus nehmen. ,  My car is broken and that is why I need to take the bus ., vocabulary-tag
1311.  Kannst du dich bitte etwas beeilen ? ,  Can you please hurry up a little?, vocabulary-tag
1312.  Der Arzt hat ihre Brust genau untersucht. ,  The doctor checked her breast carefully., vocabulary-tag
1313.  Leider hat sich die Lage in den letzten Stunden drastisch geändert . ,  Unfortunately, the situation has changed drastically over the last few hours., vocabulary-tag
1314.  Kannst du bitte zählen , wie viele Kisten hier sind? ,  Can you please count how many boxes there are?, vocabulary-tag
1315.  Ich kann nicht alles fünfmal wiederholen ! ,  I cannot repeat everything five times!, vocabulary-tag
1316.  Er möchte seine Familie gerne zum Abendessen einladen. ,  He would like to invite his family to dinner ., vocabulary-tag
1317.  Sie gingen am Fluss entlang . ,  They walked along the river., vocabulary-tag
1318.  Seine Eltern wurden vor ein paar Jahren ermordet . ,  His parents were murdered a few years ago., vocabulary-tag
1319.  Ohne Übersetzung kann ich diesen Text nicht verstehen. ,  I cannot understand this text without a translation ., vocabulary-tag
1320.  Die Firma hat gerade einen neuen Auftrag erhalten. ,  The company just received a new order ., vocabulary-tag
1321.  Ich bin nicht hier, um euch zu unterhalten . ,  I am not here to entertain you., vocabulary-tag
1322.  Dieses Wochenende wollen sie den Berg besteigen. ,  This weekend they want to climb up the mountain ., vocabulary-tag
1323.  Ich werde dir und deiner Familie immer dienen . ,  I will always serve you and your family., vocabulary-tag
1324.  Ihr Mann William ist momentan in China. ,  Her husband William is currently in China., vocabulary-tag
1325.  Manchmal kann einem der Verstand Streiche spielen. ,  Sometimes the mind can play tricks on you., vocabulary-tag
1326.  Wir können heute nicht segeln, weil der Wind zu stark ist. ,  We cannot go sailing today because the wind is too strong., vocabulary-tag
1327.  Ich würde dein Angebot gerne annehmen. ,  I would like to accept your offer ., vocabulary-tag
1328.  Wir sind mit dem Hotel wirklich sehr zufrieden . ,  We are really very satisfied with the hotel., vocabulary-tag
1329.  Meine Freundin Claire sagt, dass sie keine Zeit habe. ,  My friend Claire says that she doesn’t have time., vocabulary-tag
1330.  Das Essen ist lecker, allerdings ist es ziemlich teuer. ,  The food is tasty, though it is pretty expensive., vocabulary-tag
1331.  Der Abend mit dir war einfach wundervoll ! ,  The evening with you was simply wonderful !, vocabulary-tag
